id,cat_1,cat_2,cat_3,cat_4
0,간편식,기타,기타,기타
1,간편식,냉동과일,간편과일,간편과일
2,간편식,냉장/냉동식품,간편요리,간편요리
3,간편식,냉장/냉동식품,기타,기타
4,간편식,냉장/냉동식품,유제품,유제품
5,간편식,레토르트,즉석국/찌개,즉석국
6,간편식,레토르트,즉석국/찌개,찌개
7,간편식,레토르트,즉석면류,즉석면류
8,간편식,레토르트,즉석밥,즉석국밥
9,간편식,레토르트,즉석밥,즉석밥
10,간편식,레토르트,즉석밥,즉석컵밥
11,간편식,레토르트,즉석스프,즉석스프
12,간편식,레토르트,즉석죽,분말죽
13,간편식,레토르트,즉석죽,즉석죽
14,간편식,레토르트,즉석카레/짜장,즉석짜장
15,간편식,레토르트,즉석카레/짜장,즉석카레
16,간편식,레토르트,즉석카레/짜장,즉석카레/짜장
17,간편식,반찬/절임/소스,단무지,단무지
18,건강보조식품,영양제,비타민/미네랄,비타민/미네랄
19,건강보조식품,영양제,이너뷰티,이너뷰티
20,건강보조식품,영양제,종합영양제,종합영양제
21,건조식품,건과일,건포도,건포도
22,건조식품,건과일,기타건과일,기타건과일
23,건조식품,건과일,대추,대추
24,건조식품,건과일,사과,사과
25,건조식품,건채소,고구마,고구마
26,건조식품,건채소,마늘,마늘
27,건조식품,건해조류,건미역,건미역
28,건조식품,견과류,기타견과류,기타견과류
29,건조식품,견과류,땅콩,땅콩
30,건조식품,견과류,밤,밤
31,건조식품,견과류,브라질넛,브라질넛
32,건조식품,견과류,아몬드,아몬드
33,건조식품,견과류,피스타치오,피스타치오
34,건조식품,견과류,호두,호두
35,건조식품,견과류,혼합견과,혼합견과
36,건조식품,어포/육포,기타,기타
37,건조식품,어포/육포,어포,어포
38,건조식품,어포/육포,육포,육포
39,과자,기타,기타,기타
40,과자,기타,안주형과자,안주형과자
41,과자,기타,영유아과자,영유아과자
42,과자,기타,전통과자,전통과자
43,과자,껌,기능성껌,기능성껌
44,과자,껌,일반껌,일반껌
45,과자,껌,풍선껌,풍선껌
46,과자,껌류,토이껌류,토이껌류
47,과자,문화용품,문구,문구
48,과자,비스킷,비스킷,비스킷
49,과자,비스킷,샌드,샌드
50,과자,비스킷,쿠키,쿠키
51,과자,비스킷,쿠키,파이류/파이
52,과자,비스킷,크래커,크래커
53,과자,소시지,소시지,소시지
54,과자,스낵,감자스낵,감자스낵
55,과자,스낵,고구마스낵,고구마스낵
56,과자,스낵,과일스낵,과일스낵
57,과자,스낵,스틱과자,감자스낵
58,과자,스낵,스틱과자,고구마스낵
59,과자,스낵,스틱과자,스틱과자
60,과자,스낵,쌀스낵,쌀스낵
61,과자,스낵,쌀스낵,전통과자?
62,과자,스낵,야채스낵,야채스낵
63,과자,스낵,옥수수스낵,옥수수스낵
64,과자,스낵,일반스낵,일반스낵
65,과자,스낵,치즈스낵,치즈스낵
66,과자,스낵,팝콘,팝콘
67,과자,씨리얼,씨리얼바,씨리얼바
68,과자,씨리얼,일반/기능성,기능성씨리얼
69,과자,씨리얼,일반/기능성,일반씨리얼
70,과자,씨리얼,일반/기능성,일빈씨리얼
71,과자,초콜렛,바초콜릿,바초콜릿
72,과자,초콜렛,쉘초콜릿,쉘초콜릿
73,과자,초콜렛,초콜릿세트,초콜릿세트
74,과자,초콜렛,초콜릿칩,초콜릿칩
75,과자,초콜렛,판초콜릿,판초콜릿
76,과자,캔디,기능성캔디,기능성캔디
77,과자,캔디,사탕/캔디세트,사탕/캔디세트
78,과자,캔디,소프트캔디,소프트캔디
79,과자,캔디,양갱,양갱
