id,category_id,item_no,barcode,name,comp_nm
0,0,25687,2000000123004,금광약초 오가피 120G,금광약초
1,0,25688,2000000138664,금광약초 여주 35G,금광약초
2,0,25689,2000000123011,금광약초 두충 60G,금광약초
3,0,25690,2000000123080,금광약초 뽕잎 40G,금광약초
4,0,30160,8801045051109,양송이스프,기타
5,0,35945,8809276718112,신성에프엔비)건여주,신성에프엔비
6,0,35946,8809334061129,강원약초농산)돼지감자,강원약초농산
7,0,45434,8809109386853,산들)한가족삼계모음,산들
8,0,46036,8809276716859,신성에프엔비)칡,신성에프엔비
9,0,46038,8809276716767,신성에프엔비)당귀,신성에프엔비
10,0,46040,8809276716903,신성에프엔비)감초,신성에프엔비
11,0,56033,8809276717832,신성에프엔비)건강담은한상능이버섯이들어간백숙재료모음,신성에프엔비
12,0,65666,2000001086889,금광약초감초원산지우즈베키스탄,금광약초
13,1,65082,8801013776133,지앤엘푸드딸기다이스20G,지앤엘푸드
14,2,15099,8801007845852,CJ 제일안주 순살불닭 190G,CJ제일제당
15,2,25118,8801007845890,CJ 제일안주 매콤알찜 170G,CJ제일제당
16,3,50088,8806002018454,솔표위청수골드액75ML,솔표위청
17,4,15633,8801007672731,CJ 더건강한치즈200G,CJ제일제당
18,5,50152,8801045299419,오뚜기)사골곰탕350G,오뚜기
19,6,10241,8801045303000,오뚜기전복죽285g,오뚜기
20,6,15078,8809307391000,주비푸드 일본식 미소장국 버섯맛 21G,기타
21,6,15088,8801007528618,CJ 비비고 스팸 부대찌개 460G,CJ제일제당
22,6,15090,8801047169758,양반 수라 우거지감자탕 460G,기타
23,6,15423,8801052063737,종가집종가반상곱창육개장,종가집
24,6,15424,8801045290973,오뚜기의정부식부대찌개,오뚜기
25,6,15425,8801045290829,오뚜기종로식도가니탕,오뚜기
26,6,15426,8801045290966,오뚜기부산식돼지국밥곰탕,오뚜기
27,6,15427,8801047169444,동원양반통참치김치찌개,동원F&B
28,6,15451,8801047169567,양반 진국닭곰탕 460G,양반
29,6,15452,8801047169475,양반 한우사골 설렁탕 460G,양반
30,6,15453,8801052071855,청정원 일상가정식 얼큰양곰탕 450G,청정원 
31,6,15455,8801007561677,CJ 비비고 소고기미역국 500G,CJ제일제당
32,6,15456,88010 07853666,CJ 비비고 전복미역국 500G,CJ제일제당
33,6,15457,8801007792736,CJ 비비고 감자탕 460G,CJ제일제당
34,6,15462,8801047169437,양반 진국 왕갈비탕 460G,양반
35,6,15476,8801052069449,청정원 일상가정식 한우진곰탕 450G,청정원 
36,6,15477,8801052071848,청정원 일상가정식 나주곰탕 450G,청정원 
37,6,15478,8801007737089,CJ 비비고 차돌된장찌개 460G,CJ제일제당
38,6,15479,8809306603555,홈플러스시그니쳐 사골곰탕 500G,홈플러스
39,6,15486,8801043039826,농심 쿡탐 짬뽕탕 500G,농심
40,6,15667,8809216330275,정풍 아이맛있는한우배추된장국 200G,정풍
41,6,15718,8809676687728,이마트 피코크 정갈한오징어무국 500G,이마트
42,6,20237,8801047169475,동원 양반 한우사골설렁국,동원F&B
43,6,25073,8801007769868,CJ 비비고 추어탕 460G,CJ제일제당
44,6,25431,8801045891583,오뚜기 닭백숙 누룽지탕 190G,오뚜기
45,6,25455,8801052076249,청정원 일상가정식 장어탕 450G,청정원 
46,6,25456,8801007526515,CJ 비비고 육개장 500G,CJ제일제당
47,6,25694,8808328011140,이마트 피코크 진한설렁탕 500G,이마트
48,6,25695,8809385947960,이마트 피코크 진한닭곰탕 500G,이마트
49,6,25696,8808328011188,이마트 피코크 진한소고기장터국 500G,이마트
50,6,25697,8809192912786,이마트 피코크 진한육개장 500G,이마트
51,6,25698,8809665554031,이마트 피코크 진한우거지추어탕 500G,이마트
52,6,25699,8808328011126,이마트 피코크 정갈한홍합미역국 500G,이마트
53,6,25700,8808328011119,이마트 피코크 정갈한북어해장국 500G,이마트
54,6,25701,8809676687759,이마트 피코크 정갈한소고기들깨미역국 500G,이마트
55,6,25996,8801052057682,대상종가집 종가반상전통순댓국450G,대상
56,6,30151,8801045620107,오뚜기맛있는미역국18G,오뚜기
57,6,30207,8801007528595,비비고된장찌개,비비고된
58,6,35078,8801007628813,CJ제일제당)비비고소고기무국500G,CJ제일제당
59,6,35092,8801007820606,CJ제일제당)비비고동태탕460G,CJ제일제당
60,6,35093,8801007833040,CJ제일제당)비비고차돌육개장500G,CJ제일제당
61,6,35403,8801814002950,서강유업)가족을위한사골곰탕,서강유업
62,6,35428,8801007560922,씨제이)비비고설렁탕,씨제이제일제당
63,6,35439,8801007556376,씨제이)비비고닭곰탕,씨제이제일제당
64,6,35440,8801047169734,동원)양반한우사골시래기국,동원F&B
65,6,35441,8801047169451,동원)양반돼지고기김치찌개,동원F&B
66,6,35450,8801047144069,동원)동원백합된장찌개,동원F&B
67,6,35453,8801043049993,농심)쿡탐꼬리곰탕,농심
68,6,35454,8801052039992,청정원)남도추어탕,청정원
69,6,35561,8809676687766,신세계푸드)정갈한시금치된장국,신세계푸드
70,6,35664,8809216330282,정풍)아이맛있는한우나주곰탕,정풍
71,6,35666,8801157553898,신성티엔에프)아이밀홈쿡진한한우사골곰탕,신성티엔에프
72,6,35892,8809306604477,성보)요리하다경상도식얼큰소고기무국,성보
73,6,35930,8809360927444,신영에이치에스)아이배냇꼬마닭다리살백숙,신영에이치에스
74,6,35931,8809360922791,신영에이치에스)아이배냇꼬마무항생제사골곰탕,신영에이치에스
75,6,35950,8808328011270,교동식품)요리하다미역국,교동식품
76,6,45082,8801007761749,CJ제일제당)비비고돼지고기김치찌개460G,CJ제일제당
77,6,45083,8801007628899,CJ제일제당)비비고콩나물황태국500G,CJ제일제당
78,6,45084,8801007814407,CJ제일제당)비비고알탕440G,CJ제일제당
79,6,45085,8801007745657,CJ제일제당)비비고전북죽450G,CJ제일제당
80,6,45093,8801047169499,동원F&B)양반진국소고기무국460G,동원F&B
81,6,45417,8801047169741,동원)양반수라도가니설렁탕,동원F&B
82,6,45418,8801047169703,동원)양반김치청국장찌개,동원F&B
83,6,45419,8801047169468,동원)양반차돌된장찌개,동원F&B
84,6,45424,8801045290805,오뚜기)안동식쇠고기국밥,오뚜기
85,6,45425,8801045290836,오뚜기)수원식우거지갈비탕,오뚜기
86,6,45426,8801045290959,오뚜기)서울식쇠고기보양탕,오뚜기
87,6,45441,8801045290843,오뚜기)남도식한우미역국,오뚜기
88,6,45647,8809251121531,도야지식품)맘으로설렁탕,도야지식품
89,6,45648,8809251121555,도야지식품)맘으로소한마리탕,도야지식품
90,6,46044,8801052044071,신원에프아이)일상가정식사골김치찌개,신원에프아이
91,6,50183,8801047169406,동원 양반 차돌육개장,동원F&B
92,6,55069,8801047169550,동원양반전주식황태콩나물국460G,동원F&B
93,6,55105,8801007849867,CJ비비고진국설렁탕,CJ제일제당
94,6,55106,8801007853666,CJ비비고전복미역죽,CJ제일제당
95,6,55451,8801045290812,오뚜기서울식설렁탕,오뚜기
96,6,55452,8804316001247,체리푸드요리하다강화섬계탕,체리푸드
97,6,55660,8809676686301,신세계푸드피코크정갈한쇠고기무국,신세계푸드
98,6,55661,8809676687735,신세계푸드피코크우리집애호박돼지찌개,신세계푸드
99,6,55662,8809192914308,신세계푸드피코크진한양지육수,신세계푸드
100,6,55663,8809665550514,신세계푸드피코크진한소갈비탕,신세계푸드
101,6,55664,8809676686271,신세계푸드피코크얼큰닭개장,신세계푸드
102,6,55904,8809216330268,커머스파크)아이맛있는한우미역국200G,커머스파크
103,6,55975,8809195343785,롯데쇼핑)요리하다사골곰탕,요리하다
104,6,56030,8801052057668,대상)종가집종가반상얼큰알탕,대상
105,6,60194,8801047169413,동원 양반 백합미역국,동원F&B
106,6,65078,8801007792835,CJ비비고순댓국460G,CJ제일제당
107,6,65401,8809574675612,아워홈왕갈비탕,아워홈
108,6,65403,8801007849805,씨제이제일제당비비고한우사골곰탕,씨제이제일제당
109,6,65404,8801007526492,씨제이제일제당비비고사골곰탕,씨제이제일제당
110,6,65406,8809307640511,홈플러스국내산인삼삼계탕,홈플러스
111,6,65407,8809350311659,교동식품말죽거리소고기국밥,교동식품
112,6,65408,8801047169420,동원양반참치부대찌개,동원F&B
113,6,65409,8809625860585,태원식품산업파육개장,태원식품
114,6,65430,8801007712079,씨제이제일제당비비고갈비탕(비닐),씨제이제일제당
115,6,65450,8801052039992,종가집종가반상남도추어탕,종가집
116,6,65451,8801047169727,양반재료가살아있는백합우거지된장국,양반
117,6,65663,8809676686288,신세계푸드정갈한쇠고기미역국,신세계푸드
118,6,66247,8809042690505,고향식품)요리하다나주식곰탕,고향식품
119,6,70206,8801047169598,동원 진국사골곰탕,동원F&B
120,7,35222,8809083705800,이가자연면)감자수제비182.5G,이가자연면
121,7,35224,8809083705794,이가자연면)얼큰주세비183.5G,이가자연면
122,7,35227,8809360920919,농업회사법인현농)순쌀파스타크림앤치즈80G,농업회사법인현농
123,7,45056,8809042690253,홈플러스육개장칼국수,홈플러스
124,7,65040,8801118879425,롯데쉐푸드스파게티까르보나라,롯데푸드
125,7,65041,8801118879418,롯데쉐푸드스파게티볼로네이즈,롯데푸드
126,8,50173,8801007423562,CJ햇반컵반육개장국밥,CJ제일제당
127,8,50181,8801045890296,오뚜기황태콩나물해장국밥301.5g,오뚜기
128,8,55024,,오뚜기황태콩나물해장국밥301.5G,오뚜기
