기존,전처리
L-메티오닌0.1mg,L메티오닌mg
정제수48%],정제수
토마토퓨레,토마토퓨레
 가쓰오부시엑기스 4.9%[가쓰오부시추출액 50.9%(가쓰오부시 5%, 가쓰오부시엑기스 
 햄형후레이크, 햄형후레이크
치즈파우더,치즈파우더
고추잡채빵소[양파/국산,고추잡채빵소
밀크초콜릿(싱가포르산;백설탕,밀크초콜릿
청양고추1.07%(국산)},청양고추
연유68.08%(중국산,연유
 중국산)0.984%, 중국산
NP버터혼합액16%[정제수,NP버터혼합액
 훈연다랑어 0.4%(필리핀산), 훈연다랑어 
울금가루,울금가루
 빙초산, 빙초산
유크림(외국산,유크림
숯불갈비맛씨즈닝,숯불갈비맛씨즈닝
유기흑미(국산)4.0%,유기흑미
동결건조두부(중국산),동결건조두부
 볶은 커피향), 볶은 커피향
체리,체리
 향신장, 향신장
진간장{양조간장(탈지대두:인도산),진간장양조간장
 도토리가루 0.74%(중국산), 도토리가루 
절임총각무,절임총각무
밀키페이스트(우유),밀키페이스트
야채믹스M,야채믹스M
 모듬소세지용시즈닝비(대두, 모듬소세지용시즈닝비
토마토케찹[토마토페이스{외국산(미국,토마토케찹
산선아황산나트륨(산화방지제),산선아황산나트륨
해물농축액S,해물농축액S
 치즈향미분, 치즈향미분
자연치즈70%(수입산:원유,자연치즈
녹차풍미액 스프/정제수,녹차풍미액 스프정제수
유산균(YoFlex SoGreek F1)0.0027%(총 유산균 100억마리 이상/컵),유산균
정제말토스(옥수수전분),정제말토스
김(국산)58%,김
토마토쥬스/이탈리아),토마토쥬스이탈리아
쇼트닝2(부분경화유),쇼트닝
두부,두부
비프시즈닝오일,비프시즈닝오일
 합성향료(바닐라향)], 합성향료
 메주된장-1{정제수, 메주된장정제수
독일산등)94.42%,독일산등
칠리파우다0.31%,칠리파우다
염장우엉90.66%[(우엉,염장우엉
돈사골엑기스(고형분기준38%),돈사골엑기스
로즈마리추출액),로즈마리추출액
바나나농축분말(바나나농축액,바나나농축분말
오렌지농축과즙(오렌지과즙100%,오렌지농축과즙
너트멕,너트멕
석류농축액(석류과즙으로 20%,석류농축액
혼합제제[천연향료(드레곤후르트향),혼합제제
고추씨기름. {소맥분(밀),고추씨기름 소맥분
유기농쌀(국산)98.2%,유기농쌀
 계피가루0.5%(수입산), 계피가루
몽고진간장(대두,몽고진간장
무추출분말[무:국산],무추출분말
합성향료(복숭아향,합성향료
 정백당20%], 정백당
팜올레인부분경화],팜올레인부분경화
파6.4%(국내산),파
고순도과당(과당95%이상),고순도과당
현미15%(국산),현미
돼지고기49.23%(국산,돼지고기
 가다랑어분말, 가다랑어분말
쌀 47.65%(국산),쌀 
닭고기(윙/국내산)100%,닭고기
헤이즐넛5%[헤이즐넛(터키산)98%,헤이즐넛
코코넛약과 밀가루(중력분:미국,코코넛약과 밀가루
설탕19%,설탕
유산균배양액0.1%,유산균배양액
 어육포13%[태국산:도미어육76%, 어육포
올레오레진세이지)],올레오레진세이지
참기름(인도산),참기름
호두(외국산:미국,호두
 유기농설탕 1.2%, 유기농설탕 
당류가공품(포도당,당류가공품
